Company Name,Description,URL,Email,Website,Twitter
2015 Special Olympics World Games Company,,https://platform.dkv.global/mind-map/firms/160563,info@specialolympics.org,https://www.specialolympics.org/,
24 Hour Race Organizations,"24 Hour Race is a nonprofit organization that provides fundraising, youth empowerment workshops, virtual race and youth charity services.",https://platform.dkv.global/mind-map/firms/106008,hello@24hourrace.org,https://24hourrace.org/,https://twitter.com/24hourrace?lang=en
2Gift Company,2Gift is a social organization that offers to buy at preferred retailers while also making a free donation to a charitable cause.,https://platform.dkv.global/mind-map/firms/173786,,https://www.2gift.it/,
2M-IT Company,,https://platform.dkv.global/mind-map/firms/173301,,https://2m-it.fi/,
A future that works Organizations,,https://platform.dkv.global/mind-map/firms/172640,,https://www.afuturethatworks.org.au/,https://twitter.com/futurethatworks/
Aacharya Bhagwat Foundation Organizations,"Working on development in India across rural transformation, education, health, urban renewal, stands for the values of courage & support.",https://platform.dkv.global/mind-map/firms/105281,infoaacharyabhagwat@gmail.com,https://www.aacharyabhagwatfoundation.org/,https://twitter.com/AacharyaBhagwat
ABLE Charities India Organizations,,https://platform.dkv.global/mind-map/firms/105284,ableindia@yahoo.com,https://ablecharities.org/,https://www.twitter.com/CharitiesAble
Aboriginal Employment Strategy Organizations,"Aboriginal Employment Strategy is an aboriginal recruitment company that provides recruitment, group training, and pre-employment services.",https://platform.dkv.global/mind-map/firms/147823,info@aes.org.au,https://aes.org.au/,https://twitter.com/aes_tm
Accounting for International Development Company,Accounting for International Development offers accountants to use their skills to support non-profit organizations globally.,https://platform.dkv.global/mind-map/firms/147851,info@afid.org.uk,https://www.afid.org.uk/,
ACCSES NJ Company,,https://platform.dkv.global/mind-map/firms/169246,sales@accsesnj.org,https://accsesnj.org/,
ACKCO Company,,https://platform.dkv.global/mind-map/firms/171008,susan.white@ackco.com,https://ackco.com/,
ACT Grants Organizations,ACT Grants is a not for profit organization that aims to support startups and also provides assistance to sectors like education and health.,https://platform.dkv.global/mind-map/firms/173668,,https://actgrants.in/,https://twitter.com/actgrants
Action on Poverty Organizations,,https://platform.dkv.global/mind-map/firms/147660,info@actiononpoverty.org,https://actiononpoverty.org/,https://www.twitter.com/https://twitter.com/action_poverty
Active Evangelization Company,,https://platform.dkv.global/mind-map/firms/168286,preguntas@evangelizacion.org.mx,https://www.evangelizacion.org.mx/,
Active Luton Company,"Active Luton develops and promotes affordable, accessible, and inclusive opportunities to play sport, take part in physical activities.",https://platform.dkv.global/mind-map/firms/147676,info@activeluton.co.uk,https://activeluton.co.uk/,
Adfiap Company,Adfiap is the focal point of all development banks and other financial institutions engaged in the financing of development.,https://platform.dkv.global/mind-map/firms/174402,,https://adfiap.org/,
Adhikaar Company,,https://platform.dkv.global/mind-map/firms/167106,nfo@adhikaar.org,https://adhikaar.org/,
Advancement Project Company,"Advancement Project is a civil rights organization that advocates for voting rights, policing, discrimination, and immigration justice.",https://platform.dkv.global/mind-map/firms/166426,mediadesk@advancementproject.org,https://advancementproject.org/,
Advocacy for All Company,,https://platform.dkv.global/mind-map/firms/147796,info@advocacyforall.org.uk,https://www.advocacyforall.org.uk/,
Aegis Trust Company,,https://platform.dkv.global/mind-map/firms/167297,office@aegistrust.org,https://www.aegistrust.org/,
AFI Company,AFI is an international policy institute that specializes in financial inclusion policy for the underserved and underbanked people.,https://platform.dkv.global/mind-map/firms/146633,help@thebackend.io,https://afi-global.org/,
Afiliatys Organizations,"Afiliatys is a nonprofit organization that offers community investments, charity work, social service, insurance, and health care.",https://platform.dkv.global/mind-map/firms/147854,info@afiliatys.eu,https://www.afiliatys.eu/fr/index.cfm,
Africa Nonprofit Chore Company,"Africa Nonprofit Chore assists with peaceful co-existence, empowering youth and women, and safe migration and displacement.",https://platform.dkv.global/mind-map/firms/148427,info@anchor-africa.org,https://www.anchor-africa.org/,
Africa Research Institute Company,"Africa Research Institute is a non-profit organization that promotes agriculture, urban planning, and social development services.",https://platform.dkv.global/mind-map/firms/147876,info@africaresearchinstitute.org,https://www.africaresearchinstitute.org/newsite/,
Africa Skills Hub Company,Africa Skills Hub is a development & social enterprise-oriented organization that helps to build skilled African youth as agents of change.,https://platform.dkv.global/mind-map/firms/173590,,http://www.africaskillshub.org/,
African Entrepreneurs Hub Company,,https://platform.dkv.global/mind-map/firms/147815,info@aehub.org,http://www.aehub.org/,
AfriKids Company,"AfriKids is a non-profit organization that offers child care protection, education & health care systems for children and community groups.",https://platform.dkv.global/mind-map/firms/94853,info@afrikids.org,https://www.afrikids.org/,
Ageno Company,,https://platform.dkv.global/mind-map/firms/174413,,http://www.agenofoundation.org/,
Agexport Company,"Agexport is a non-profit organization promoting exports of non-traditional products, social, and economic development services.",https://platform.dkv.global/mind-map/firms/143026,customerservice@agexport.org.gt,https://export.com.gt/inicio,
Agrisud International Organizations,,https://platform.dkv.global/mind-map/firms/138551,agrisud@agrisud.org,https://www.agrisud.org/,https://twitter.com/Agrisud_ONG
Ahead Partnership Company,"Ahead Partnership is a nonprofit organization that specializes in economic development, vocational learning and social value services.",https://platform.dkv.global/mind-map/firms/175076,,https://www.aheadpartnership.org.uk/,
Ahmini Donors,Ahmini is a technological facilitator that enables rural women to be integrated into the social security system and insurance coverage.,https://platform.dkv.global/mind-map/firms/98284,info@ahmini.net,https://ahmini.net/en/home/,https://twitter.com/Ahmini2
AIGA DC Company,,https://platform.dkv.global/mind-map/firms/171095,talktous@dc.aiga.org,https://dc.aiga.org/,
AKGG Organizations,,https://platform.dkv.global/mind-map/firms/148032,info@akgg.de,https://www.akgg.de/,https://twitter.com/akgg24
Al Majmoua Company,"Al Majmoua provides group loans, micro-lending, product quality improvement, and business development services for women, and entrepreneurs.",https://platform.dkv.global/mind-map/firms/141203,contact@almajmoua.org,https://www.almajmoua.org/,
ALC Organizations,"ALC is a non-profit organization that provides employment, education, financial support, health care, training, and charity services.",https://platform.dkv.global/mind-map/firms/169947,siege@association-alc.org,https://www.association-alc.org/,
Aldia Cooperativa Sociale Organizations,"Aldia Cooperativa Sociale is a social cooperative organization that provides social-welfare, educational, and health services.",https://platform.dkv.global/mind-map/firms/148087,info@aldia.it,https://www.aldia.it/,https://twitter.com/aldiacoop
Ales Myriapolis Organizations,,https://platform.dkv.global/mind-map/firms/141811,contact@myriapolis.fr,http://www.alesmyriapolis.fr/,https://twitter.com/AlesMyriapolis
Alliance for Children and Families Company,,https://platform.dkv.global/mind-map/firms/172132,website@alliance1.org,http://alliance1.org/,
Alliance Microfinance Company,"Alliance Microfinance offers job creation, loans, education and social performance management services for poor and disadvantaged people.",https://platform.dkv.global/mind-map/firms/174378,,https://amas.as/,
Alliance Sud Organizations,"Alliance Sud is a nonprofit organization that specializes in international trade, climate policy, taxation, and development policy.",https://platform.dkv.global/mind-map/firms/165670,mail@alliancesud.ch,https://www.alliancesud.ch/,https://twitter.com/alliancesud
Alms Company,Alms is a well-being social app that enables users to connect with the online community by doing and sharing good in real life.,https://platform.dkv.global/mind-map/firms/146736,hi@alms.app,https://alms.app/,
Alternative Development Organization Company,Alternative Development Organization is a not-for-profit organization that designs and implements development strategies.,https://platform.dkv.global/mind-map/firms/174381,,https://www.ado.ngo/,
Alternative Services Company,,https://platform.dkv.global/mind-map/firms/164374,jbhaskaran@asi-mi.org,https://www.asi-ne.org/,
America Solidaria Company,,https://platform.dkv.global/mind-map/firms/168042,peru@americasolidaria.org,https://americasolidaria.org/,
American Training Company,,https://platform.dkv.global/mind-map/firms/170465,StevePellerin@americantraininginc.com,https://www.americantraininginc.com/,
Amigos de Jesus Organizations,,https://platform.dkv.global/mind-map/firms/138743,amigos@amigosdejesus.org,https://amigosdejesus.org/,https://twitter.com/ADJ_Hogar
Ample Labs Companies,,https://platform.dkv.global/mind-map/firms/145327,general@amplelabs.co,https://www.amplelabs.co/,https://twitter.com/amplelabs_co
Anan Foundation Organizations,,https://platform.dkv.global/mind-map/firms/99581,help@ananfoundation.com,https://www.ananfoundation.com/,https://twitter.com/AnanFnd
AnglicareSA Organizations,,https://platform.dkv.global/mind-map/firms/106081,admin@anglicaresa.com.au,https://anglicaresa.com.au/,https://twitter.com/anglicaresa
ANTI-DO-TO Company,,https://platform.dkv.global/mind-map/firms/146535,help@anti-do-to.com.,https://www.anti-do-to.com/,
Anza Company,Anza is a non-profit organisation dedicated to improving lives through starting and scaling social businesses in Tanzania.,https://platform.dkv.global/mind-map/firms/174575,,http://anza.co.com/,
APEX Conference Organizations,,https://platform.dkv.global/mind-map/firms/148542,info@apexconference.com,https://www.apexconference.com/,https://twitter.com/apexconference
Applewood Centers Company,,https://platform.dkv.global/mind-map/firms/164088,intake@applewoodcenters.org,https://www.applewoodcenters.org/,
Aprofem Company,,https://platform.dkv.global/mind-map/firms/174512,,https://www.aprofem.org/,
Aptiv Company,"Aptiv is an organization that provides behavioral counseling, employment, therapeutic, residential, community, and in-home support services.",https://platform.dkv.global/mind-map/firms/7378,delphiautoparts@gmail.com,https://www.aptiv.org/,https://twitter.com/aptiv
APUI Les Villageoises Organizations,,https://platform.dkv.global/mind-map/firms/173357,,https://apui-lesvillageoises.org/,
Arab American and Chaldean Council Company,,https://platform.dkv.global/mind-map/firms/168395,programadvocates@myacc.org,https://www.myacc.org/,
Archdiocese of Milwaukee Company,"Archdiocese of Milwaukee is a religious organization that serves catholic communities, educational groups, parishes, and poverty programs.",https://platform.dkv.global/mind-map/firms/166324,mcneils@archmil.org,https://www.archmil.org/archdiocese-milwaukee/home.htm,
Armee du Salut Organizations,,https://platform.dkv.global/mind-map/firms/106105,info@heilsarmee.ch,https://www.armeedusalut.ch/,https://twitter.com/SwissRedshield
ARMIA Organizations,"ARMIA is a community-based organization that offers life skills training, education, citizenship, housing, and health care services.",https://platform.dkv.global/mind-map/firms/137446,admin@armia.com.au,https://www.armia.com.au/,
ASEAN CSR Network Company,,https://platform.dkv.global/mind-map/firms/148814,info@asean-csr-network.org,http://asean-csr-network.org/,
Ashok Tree Foundation Company,,https://platform.dkv.global/mind-map/firms/174978,,https://atcharity.org/,
Asian Population and Development Association Organizations,Asian Population and Development Association is addressing population and development issues to attain sustainable development.,https://platform.dkv.global/mind-map/firms/174058,,https://apda.jp/,
Asif Kamal Foundation Company,,https://platform.dkv.global/mind-map/firms/99611,info@asifkamalfoundation.org,https://www.asifkamalfoundation.org/,
Asociacion Ajb'atz' Enlace Quiche Organizations,Raising human capacity of indigenous peoples through innovative applications of information and communication technology.,https://platform.dkv.global/mind-map/firms/152785,info@enlacequiche.org,http://www.enlacequiche.org/,https://www.twitter.com/ajbatzenlaceq
Association Aurore Organizations,"Association Aurore is a non-profit organization that offers accommodation, professional integration, medico-social, and health services.",https://platform.dkv.global/mind-map/firms/169948,siege@aurore.asso.fr,https://www.aurore.asso.fr/,https://twitter.com/AssoAurore
Associazione Luca Coscioni Organizations,,https://platform.dkv.global/mind-map/firms/148907,info@associazionelucacoscioni.it,https://www.associazionelucacoscioni.it/,https://twitter.com/ass_coscioni
Asubaru Organizations,Asubaru aims to realize a gender-equal society in which all people living in Fukuoka can exercise their individuality and abilities.,https://platform.dkv.global/mind-map/firms/174160,,https://www.asubaru.or.jp/,
Asylum Justice Company,,https://platform.dkv.global/mind-map/firms/148934,info@asylumjustice.org.uk,https://asylumjustice.org.uk/,
ATD Fourth World Company,ATD Fourth World is a non-profit organization that helps build relationships with people in poverty to transform the communities.,https://platform.dkv.global/mind-map/firms/102474,nationalcenter@4thworldmovement.org,https://atdfourthworld-usa.org/,
Aurive Organizations,,https://platform.dkv.global/mind-map/firms/105396,info@aurive.it,https://www.aurive.it/,https://twitter.com/Aurive_it/
AUSA North Texas Company,"AUSA North Texas is a nonprofit organization that offers leadership and housing services to veterans, soldiers, and their families.",https://platform.dkv.global/mind-map/firms/167216,ntam@ausa.org,https://www.ausanorthtexas.org/,
Australian Indigenous Leadership Centre Organizations,Australian Indigenous Leadership Centre is a nonprofit organization that offers various courses that help build indigenous people's careers.,https://platform.dkv.global/mind-map/firms/144140,enquiries@ailc.org.au,https://www.ailc.org.au/,https://twitter.com/ailcleaders
Australian Refugee Association Company,,https://platform.dkv.global/mind-map/firms/168657,reception@ausref.net,https://www.australianrefugee.org/,
Australian Volunteers International Organizations,"Australian Volunteers International is a non-profit organization and a charity focused on social, economic, and environmental issues.",https://platform.dkv.global/mind-map/firms/106134,enquiries@avi.org.au,https://avi.org.au/,https://twitter.com/austvolunteers?lang=en
AVA Foundation Company,,https://platform.dkv.global/mind-map/firms/105405,info@avafoundation.io,https://avafoundation.io/,
